source,id,title,year,dataset_role,open_data,language_annotation,language_evidence,modalities,data_supervision,task_families,concept_types,environments,dataset_evidence,open_evidence,warnings,summary_link,paper_link,project_link
Professor Survey,touch_vision_language_dataset_multimodal_alignment,"A Touch, Vision, and Language Dataset for Multimodal Alignment",2024,introduces benchmark,unknown,captions / descriptions; property words,"captions / descriptions: New TVL Benchmark : open-vocabulary 402-way tactile classification (top-1/top-5, tactile-vision and tactile-language) + a tactile-semantic description task scored 1-10 by text-only GPT-4 against human ground truth. | property words: 254 tactile adjectives",vision; tactile; language; point cloud / 3D,class labels; self-supervised pairs; simulation labels,simulation / sim2real; representation learning,object state,real robot; human collection; simulation; web / video; offline perception,"TVL dataset (44K pairs = SSVTP 4,587 + HCT 39,154 in-contact); 254 tactile adjectives; 99%/1% split (402-pair human-labeled test set). New TVL Benchmark : open-vocabulary 402-way tactile classification (top-1/top-5, tactile-vision and tactile-language) + a tactile-semantic description task scored 1-10 by text-only GPT-4 against human ground truth.","03 All TVL-LLaMA variants beat GPT-4V (the label-generating teacher) by &ge;+12% on the overall TVL score, and beat open-source VLMs by larger margins, all statistically significant (paired t-test vs GPT-4V, p < 0.",introduced data artifact has unknown release status,../source_materials/professor_survey_raw/knowledge/paper/touch_vision_language_dataset_multimodal_alignment.html,https://arxiv.org/abs/2402.13232,
Supplement,abc-130k,ABC-130k,2026,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; proprioception; language,demonstrations / trajectories; simulation labels,grasping / lifting; insertion / assembly; simulation / sim2real,object state,real robot; simulation; offline perception,"ABC-130k is an open bimanual robot manipulation dataset released with the paper 'Scalable Behavior Cloning with Open Data, Training, and Evaluation'. It contains roughly 130,919 episodes (43,090 annotated) totaling about 3,598 hours collected on bimanual YAM stations with two 6-DoF arms and parallel-jaw grippers, spanning ~195 tasks such as pick-and-place, folding, sorting, handover, insertion, tool use, and assembly. Each episode includes three camera views (one top plus two wrist), joint states, end-effector poses, gripper aperture, and task/subtask annotations, plus 400 hours of accompanying sim-teleop data.",datasets.bot lists this as a public dataset with license Apache-2.0 and download URL https://huggingface.co/datasets/XDOF/ABC-130k.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/datasets_bot_raw/knowledge/paper/abc-130k.html,https://abc.bot/,https://abc.bot/
Professor Survey,active_acoustic_sensing_manipulation,Active Acoustic Sensing for Robot Manipulation,2023,self-collected eval data,partial or indirect,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; audio; force; point cloud / 3D,class labels; property labels; self-supervised pairs; simulation labels,grasping / lifting; contact-rich manipulation; material recognition; simulation / sim2real,static property; object state,real robot; simulation,"Self-collected. Seven objects = two shapes (bar, tube) x five materials (aluminium, steel, wood, ABS plastic, 3D-printed plastic); bar/tube of the same material are visually identical in-hand (Fig 5). Object recognition: each object grasped 20x (single-object scene) and 10x (multi-object scene with external contacts) per excitation signal. Grasping-position estimation: 13 grasp positions 5 mm apart, recorded 5x each. Only the first 1 s of each 5 s recording used.",,,../source_materials/professor_survey_raw/knowledge/paper/active_acoustic_sensing_manipulation.html,https://arxiv.org/abs/2308.01600,
Supplement,agibot-world,AgiBot World 2026,2026,introduces dataset,open / public,task instructions / commands,"task instructions / commands: LeRobot v2.1: per-episode Parquet + MP4 for 9 image streams (top/left/right hand RGB, head depth, head fisheye x3, head stereo x2), joint pos/vel and EE actions, plus subtask/bbox/instruction annotations.",vision; tactile; force; proprioception; language; point cloud / 3D,none apparent,none apparent,object state,real robot; offline perception,"AgiBot World 2026 is the latest release of the AgiBot World embodied-AI dataset, succeeding the earlier Alpha/Beta releases. It is collected in real-world commercial, home, and general-purpose environments using the AGIBOT G2 wheeled humanoid with dual 7-DOF force-controlled arms, capturing synchronized RGB(D), LiDAR point clouds, tactile, IMU, and full-body joint states. Released in sequential phases, it provides long-horizon manipulation, navigation, dual-arm coordination, and human-robot collaboration data in LeRobot format (~9.4 TB).",datasets.bot lists this as a public dataset with license custom and download URL https://huggingface.co/datasets/agibot-world/AgiBotWorld2026.,dataset-relevant row has no task-family tag; dataset-relevant row has no data-supervision tag,../source_materials/datasets_bot_raw/knowledge/paper/agibot-world.html,https://arxiv.org/abs/2503.06669,https://agibot-world.com
Supplement,airoa-moma,AIRoA MoMa Dataset,2025,introduces dataset,open / public,none apparent,"none apparent: Language appears in the method/title/tags, but the dataset evidence does not show explicit language annotations.",vision; force; proprioception; language,demonstrations / trajectories,cooking / food state,object state,real robot; offline perception,"The AIRoA MoMa Dataset is a large-scale, real-world dataset for mobile manipulation collected with the Toyota Human Support Robot (HSR) via leader-follower teleoperation in household environments. It contains 25,469 episodes (~94 hours) sampled at 30 Hz, with synchronized RGB images from head and wrist cameras, joint states, six-axis wrist force-torque signals, and internal robot states. A two-layer annotation schema of sub-goals and primitive actions supports hierarchical learning and error analysis across seven primary household tasks. The data is standardized in the LeRobot v2.1 format and released by AIRoA (AI Robot Association) under the GENIAC project (METI/NEDO).",datasets.bot lists this as a public dataset with license custom and download URL https://huggingface.co/datasets/airoa-org/airoa-moma.,"language modality/method signal, but no explicit dataset language annotation evidence",../source_materials/datasets_bot_raw/knowledge/paper/airoa-moma.html,https://arxiv.org/abs/2509.25032,https://huggingface.co/datasets/airoa-org/airoa-moma
Supplement,alfa-airlab-failure-anomaly,ALFA (AirLab Failure and Anomaly Dataset),2020,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; proprioception,class labels; temporal / event labels,policy learning / VLA; failure detection / recovery,object state; event,real robot; offline perception,"ALFA (AirLab Failure and Anomaly Dataset) from CMU's AirLab is a real-world flight dataset for fault detection and isolation (FDI) and anomaly detection (AD) on a fixed-wing UAV. It contains processed data for 47 autonomous flights covering eight fault types: 23 sudden full engine (power loss) failures and 24 scenarios of seven control-surface (actuator) faults including elevator stuck at zero, aileron stuck (left/right/both), rudder stuck (left/right/zero), and combined rudder & aileron faults, plus normal (no-fault) baseline flights. Across the processed sequences there is about 66 minutes of normal flight and 13 minutes of post-fault flight; the full archive additionally includes many hours of raw autonomous, autopilot-assisted, and manual flight data with tens of fault scenarios. The aircraft is a custom-modified Carbon-Z T-28 model plane (2 m wingspan, single electric engine, ailerons/flaperons/elevator/rudder) equipped with a Pixhawk autopilot (modified ArduPilot 3.9.0beta1, MAVLink 2.0), an NVIDIA Jetson TX2 onboard computer, a pitot tube, and a GPS module. Recorded telemetry (typically 20-25 Hz, with some 4-5 Hz topics and ~5 Hz ground-truth fault-status topics) includes commanded and measured roll/pitch/yaw, airspeed and velocity, IMU state and accelerations, GPS/global and local position, wind estimation, path/altitude/airspeed tracking errors, and setpoint commands, along with ground-truth labels for engine, aileron, rudder, and elevator faults. Data is distributed as ROS .bag files plus processed .csv and .mat (MATLAB) exports, plus raw bag files, TX2 telemetry logs, and Pixhawk dataflash logs; cross-platform reader/filter/iterator and evaluation tools (C++, Python, MATLAB) and custom ROS message definitions are provided at github.com/castacks/alfa-dataset-tools (BSD-3 licensed). The dataset is hosted publicly on CMU KiltHub under a CC BY 4.0 license (~1.7 GB compressed / ~12.5 GB uncompressed across processed/raw/dataflash/telemetry archives). Authored by Azarakhsh Keipour, Mohammadreza Mousaei, and Sebastian Scherer (IJRR 2021; arXiv:1907.06268). No camera/vision data — it is telemetry/sensor logs only.",datasets.bot lists this as a public dataset with license CC-BY-4.0 and download URL https://doi.org/10.1184/R1/12707963.,,../source_materials/datasets_bot_raw/knowledge/paper/alfa-airlab-failure-anomaly.html,https://arxiv.org/abs/1907.06268,https://theairlab.org/alfa-dataset/
Supplement,aloha-bimanual,ALOHA Static,2023,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision,demonstrations / trajectories,none apparent,object state,none apparent,Bimanual teleoperated demonstrations of fine manipulation tasks.,datasets.bot lists this as a public dataset with license MIT and download URL not listed.,dataset-relevant row has no task-family tag,../source_materials/datasets_bot_raw/knowledge/paper/aloha-bimanual.html,https://datasets.bot/datasets/aloha-bimanual,
Professor Survey,material_recognition_thermal_tactile_database,Analyzing Material Recognition Performance of Thermal Tactile Sensing using a Large Materials Database and a Real Robot,2022,introduces dataset,open / public,none apparent,none apparent: No explicit language annotation is stated in the dataset/setup evidence.,vision; tactile; force; thermal,class labels; property labels; temporal / event labels; self-supervised pairs; simulation labels,cooking / food state; material recognition; simulation / sim2real,static property; event,real robot; simulation; offline perception,"CES Edupack Level-1 materials database (69 materials, four categories: metals/alloys, ceramics/glasses, polymers/elastomers, composites/foams/natural). Simulated: 2346 pairs over 69 materials + a 500-bin effusivity sweep. Real: 12 materials &rarr; 66 pairs, 10 trials/material (fixed) and 50 trials/material (varied). Simulated and real datasets released on Harvard Dataverse and the Georgia Tech site.",Simulated and real datasets released on Harvard Dataverse and the Georgia Tech site.,,../source_materials/professor_survey_raw/knowledge/paper/material_recognition_thermal_tactile_database.html,https://arxiv.org/abs/1711.01490,
Professor Survey,any2policy_any_modality_visuomotor,Any2Policy: Learning Visuomotor Policy with Any-Modality,2024,introduces benchmark,unknown,task instructions / commands,"task instructions / commands: Every task is annotated with k =5 distinct text instructions (paraphrased via GPT-4) plus speech (Amazon Polly voices), image end-goals, and video demonstrations",vision; audio; language; point cloud / 3D,demonstrations / trajectories; self-supervised pairs; simulation labels,grasping / lifting; cooking / food state; policy learning / VLA; simulation / sim2real; representation learning,object state,real robot; simulation; offline perception,"RoboAny , a new real-world dataset of n =30 distinct tasks (pick-and-place, sorting by color, ""open the drawer"", etc.), each with m =30 human teleoperated trajectories, drawn from a set of 70 objects. Every task is annotated with k =5 distinct text instructions (paraphrased via GPT-4) plus speech (Amazon Polly voices), image end-goals, and video demonstrations; depth recordings are converted to point clouds for observation. Simulation benchmarks: Franka Kitchen [92] (text-image) and ManiSkill2 [94] (text-image and text-{image, point cloud}).",,introduced data artifact has unknown release status,../source_materials/professor_survey_raw/knowledge/paper/any2policy_any_modality_visuomotor.html,https://openreview.net/forum?id=8lcW9ltJx9,
Professor Survey,anytouch_unified_static_dynamic_visuotactile,AnyTouch: Learning Unified Static-Dynamic Representation across Multiple Visuo-tactile Sensors,2025,uses existing datasets,open / public,property words,property words: AnyTouch builds a sensor-agnostic visuo-tactile representation by training a shared encoder on tactile images and videos at two granularities - pixel-level masked modeling for fine detail and semantic-level touch-vision-language alignment plus a novel cross-sensor matching task - so one model perceives static proper...,vision; tactile; force; language,property labels; temporal / event labels; self-supervised pairs,material recognition; representation learning,static property,real robot; offline perception,"9 tactile training datasets - Touch and Go, VisGel, Cloth, ObjectFolder Real, TVL, YCB-Slide, SSVTP, Octopi, plus the coarse-grained subset of their new TacQuad (aligned, 4 sensors, 72,606 contact frames: 17,524 fine-grained spatio-temporal across 25 objects + 55,082 coarse-grained spatial across 99 objects; each frame has GPT-4o-generated, manually-corrected tactile text). Downstream eval: Touch and Go, Feel, ObjectFolder 1.0 and 2.0; real-world fine-grained pouring.","four visuo-tactile sensors - GelSight Mini (public), DIGIT (public), DuraGel (self-made), Tac3D (force-field).",,../source_materials/professor_survey_raw/knowledge/paper/anytouch_unified_static_dynamic_visuotactile.html,https://arxiv.org/abs/2502.12191,
